title,genre,director1,director2,actor1,actor2,actor3,actor4,box_office,imdb_rating,imdb_votes,yr
Herbie Rides Again,Comedy- Family- Fantasy,RobertStevenson,.,HelenHayes,KenBerry,StefaniePowers,JohnMcIntire,38229000,5.7,6702,1974
Let Sleeping Corpses Lie,Horror,JorgeGrau,.,CristinaGalbó,RayLovelock,ArthurKennedy,AldoMassasso,.,6.8,6683,1974
Phase IV,Horror- Sci-Fi- Thriller,SaulBass,.,NigelDavenport,MichaelMurphy,LynneFrederick,AlanGifford,.,6.5,6449,1974
Arabian Nights,Comedy- Drama- Fantasy,PierPaoloPasolini,.,NinettoDavoli,FrancoCitti,FrancoMerli,TessaBouché,.,6.8,6385,1974
It's Alive,Horror,LarryCohen,.,JohnP.Ryan,SharonFarrell,AndrewDuggan,GuyStockwell,.,5.8,6260,1974
Dirty Mary Crazy Larry,Action- Crime- Thriller,JohnHough,.,PeterFonda,SusanGeorge,AdamRoarke,KennethTobey,.,6.7,5773,1974
Salak Milyoner,Comedy,ErtemEgilmez,.,KemalSunal,MeralZeren,MünirÖzkul,ZekiAlasya,.,8,5733,1974
Lacombe Lucien,Drama- Romance- War,LouisMalle,.,PierreBlaise,AuroreClément,HolgerLöwenadler,ThereseGiehse,.,7.7,5726,1974
The Land That Time Forgot,Adventure- Fantasy,KevinConnor,.,DougMcClure,JohnMcEnery,SusanPenhaligon,KeithBarron,.,5.7,5032,1974
Sweet Movie,Comedy- Drama- Mystery,DusanMakavejev,.,CaroleLaure,PierreClémenti,AnnaPrucnal,SamiFrey,.,6.2,4956,1974
Salako,Adventure- Comedy- Crime,AtifYilmaz,.,KemalSunal,MeralZeren,IhsanBaysal,OktarDurukan,.,7.4,4931,1974
Travolti da un insolito destino nell'azzurro mare d'agosto,Adventure- Comedy- Drama,LinaWertmüller,.,GiancarloGiannini,MariangelaMelato,RiccardoSalvino,IsaDanieli,.,7.7,4873,1974
Blood for Dracula,Horror,PaulMorrissey,.,JoeDallesandro,UdoKier,VittorioDeSica,MaximeMcKendry,.,6.2,4794,1974
Godzilla vs. Mechagodzilla,Action- Fantasy- Horror,JunFukuda,.,MasaakiDaimon,KazuyaAoyama,ReikoTajima,AkihikoHirata,.,6.4,4765,1974
Neveroyatnye priklyucheniya italyantsev v Rossii,Adventure- Comedy- Crime,FrancescoProsperi,EldarRyazanov,AndreyMironov,NinettoDavoli,AntoniaSantilli,AlighieroNoschese,.,7.7,4687,1974
Harry and Tonto,Adventure- Comedy- Drama,PaulMazursky,.,ArtCarney,EllenBurstyn,RenéEnríquez,HerbertBerghof,.,7.4,4641,1974
California Split,Comedy- Drama,RobertAltman,.,GeorgeSegal,ElliottGould,AnnPrentiss,GwenWelles,10900000,7.2,4627,1974
We All Loved Each Other So Much,Comedy- Drama,EttoreScola,.,NinoManfredi,VittorioGassman,StefaniaSandrelli,StefanoSattaFlores,.,8.1,4588,1974
Juggernaut,Action- Drama- Thriller,RichardLester,.,RichardHarris,OmarSharif,DavidHemmings,AnthonyHopkins,.,6.6,4494,1974
McQ,Action- Crime- Drama,JohnSturges,.,JohnWayne,EddieAlbert,DianaMuldaur,ColleenDewhurst,.,6.3,4388,1974
The Street Fighter,Action- Crime- Thriller,ShigehiroOzawa,.,Shin'ichiChiba,GoichiYamada,YutakaNakajima,ChiyokoKazama,.,7.1,4259,1974
Celine and Julie Go Boating,Comedy- Drama- Fantasy,JacquesRivette,.,JulietBerto,DominiqueLabourier,BulleOgier,Marie-FrancePisier,31452,7.6,4158,1974
Benji,Adventure- Family- Romance,JoeCamp,.,PeterBreck,DeborahWalley,PatsyGarrett,AllenFiuzat,39552600,6.1,4081,1974
Only Old Men Are Going to Battle,Comedy- Drama- War,LeonidBykov,.,LeonidBykov,SergeiPodgornyj,SergeiIvanov,RustamSagdullaev,.,8.4,4077,1974
